,High,Low,Open,Close,Volume,Adj Close,Company Name
4225,657.75,647.25,657.0,652.4249877929688,4754094.0,616.2272338867188,M&M
4226,651.4500122070312,640.5,651.4500122070312,646.9249877929688,1495124.0,611.0323486328125,M&M
4227,658.9000244140625,645.4500122070312,647.4500122070312,656.0750122070312,1350030.0,619.6747436523438,M&M
4228,679.4000244140625,649.1500244140625,658.0,674.375,5875460.0,636.9594116210938,M&M
4229,680.5,656.5,677.4500122070312,662.5,1599896.0,625.7432861328125,M&M
4230,666.0,657.1749877929688,661.5,661.0250244140625,714316.0,624.3502197265625,M&M
4231,669.5,658.0999755859375,661.0750122070312,664.9000244140625,2634892.0,628.0101318359375,M&M
4232,665.9000244140625,656.3499755859375,661.5499877929688,660.125,1357652.0,623.5000610351562,M&M
4233,661.5250244140625,649.9749755859375,661.5,651.7750244140625,1755722.0,615.6134033203125,M&M
4234,655.9000244140625,649.0499877929688,651.0,651.9749755859375,1947556.0,615.80224609375,M&M
4235,660.0,649.6749877929688,651.9749755859375,651.375,921202.0,615.2355346679688,M&M
4236,678.6749877929688,657.5999755859375,662.7000122070312,663.0,1826798.0,626.2155151367188,M&M
4237,669.3250122070312,658.4500122070312,663.5,661.7750244140625,2281418.0,625.05859375,M&M
4238,666.5,659.2249755859375,663.2000122070312,660.4500122070312,1868436.0,623.8070678710938,M&M
4239,665.9749755859375,650.0,661.5,651.9249877929688,2367164.0,615.7549438476562,M&M
4240,658.2249755859375,648.2000122070312,657.0,650.0999755859375,1482690.0,614.0311889648438,M&M
4241,653.0,635.5,650.6749877929688,647.2000122070312,7791312.0,611.292236328125,M&M
4242,644.0,628.8250122070312,644.0,635.4249877929688,2647756.0,600.17041015625,M&M
4243,640.5,633.7000122070312,638.0,637.2750244140625,1991010.0,601.9179077148438,M&M
4244,643.5,635.6500244140625,637.0499877929688,637.9000244140625,1450556.0,602.5081787109375,M&M
4245,642.2000122070312,629.5250244140625,637.5,632.875,2196248.0,597.7619018554688,M&M
4246,641.8250122070312,635.0,636.0499877929688,638.5,1746870.0,603.0748901367188,M&M
4247,642.3499755859375,631.5,642.3499755859375,635.3250122070312,2308496.0,600.0759887695312,M&M
4248,643.6500244140625,630.4749755859375,635.3499755859375,639.9249877929688,8849392.0,604.4208374023438,M&M
4249,647.5,636.25,638.5,643.4500122070312,2188282.0,607.7501831054688,M&M
4250,652.5,640.0,648.7999877929688,643.25,1935486.0,607.561279296875,M&M
4251,647.0,634.9500122070312,643.75,645.375,3975030.0,609.5684204101562,M&M
4252,646.9500122070312,637.5750122070312,643.9500122070312,644.4500122070312,1084388.0,608.6947631835938,M&M
4253,644.875,634.375,642.0,637.7750244140625,1710604.0,602.39013671875,M&M
4254,641.4249877929688,633.75,640.0,640.4000244140625,1087208.0,604.8695068359375,M&M
4255,642.9000244140625,635.0250244140625,638.5,640.7750244140625,1414324.0,605.2236328125,M&M
4256,643.0,634.4000244140625,643.0,639.9749755859375,1663874.0,604.468017578125,M&M
4257,640.8499755859375,634.5250244140625,636.5,640.25,1104418.0,604.7278442382812,M&M
4258,639.2249755859375,632.8250122070312,635.0250244140625,634.6749877929688,2118848.0,599.4620361328125,M&M
4259,636.9000244140625,629.2999877929688,636.9000244140625,631.5750122070312,1951614.0,596.5341186523438,M&M
4260,634.4500122070312,626.5,632.0,629.7249755859375,1718390.0,594.7866821289062,M&M
4261,638.5,629.0,629.0,635.8499755859375,1324892.0,600.5718994140625,M&M
4262,637.3250122070312,627.5499877929688,635.0,629.0999755859375,1331830.0,594.1963500976562,M&M
4263,635.5,629.2999877929688,629.2999877929688,632.2999877929688,1137378.0,597.2188110351562,M&M
4264,655.4500122070312,639.8250122070312,642.5,653.7249755859375,11584768.0,617.4551391601562,M&M
4265,679.7999877929688,657.25,658.875,676.375,5752818.0,638.8484497070312,M&M
4266,681.8499755859375,666.0,676.8499755859375,668.5999755859375,2318584.0,631.5047607421875,M&M
4267,672.5999755859375,658.8250122070312,668.9000244140625,667.7750244140625,1052588.0,630.7256469726562,M&M
4268,676.375,663.1500244140625,666.5499877929688,670.4749755859375,1634378.0,633.27587890625,M&M
4269,677.0999755859375,666.9749755859375,671.0,674.3250122070312,1811584.0,636.9122314453125,M&M
4270,675.5,664.8250122070312,670.5,667.4500122070312,1479754.0,630.418701171875,M&M
4271,665.5,653.5,665.5,660.625,1791334.0,623.972412109375,M&M
4272,672.8499755859375,656.5,661.25,666.6749877929688,1159430.0,629.6865844726562,M&M
4273,675.9500122070312,664.3250122070312,667.8499755859375,671.8250122070312,1183118.0,634.551025390625,M&M
4274,689.8499755859375,674.0,676.0,688.2000122070312,2141724.0,650.0173950195312,M&M
4275,701.0999755859375,681.4000244140625,692.8499755859375,688.0750122070312,3489420.0,649.8993530273438,M&M
4276,689.0,680.8499755859375,689.0,683.9249877929688,3499498.0,645.9796752929688,M&M
4277,693.3250122070312,685.0,686.5,687.8250122070312,1116380.0,649.6632080078125,M&M
4278,690.25,681.5499877929688,688.5,683.1749877929688,1032024.0,645.2711791992188,M&M
4279,692.1749877929688,680.2000122070312,681.5,689.4000244140625,1841768.0,651.15087890625,M&M
4280,686.0,673.75,684.5,676.4249877929688,2435692.0,638.8956909179688,M&M
4281,678.7999877929688,664.25,675.0,666.7000122070312,1953484.0,629.7103881835938,M&M
4282,670.9749755859375,650.5499877929688,670.0750122070312,653.125,873594.0,616.8884887695312,M&M
4283,669.1749877929688,650.0,657.5,665.875,1560364.0,628.9310913085938,M&M
4284,669.4000244140625,650.7249755859375,665.75,654.3250122070312,1251366.0,618.0219116210938,M&M
4285,667.9500122070312,652.0,655.5,663.75,2913396.0,626.9240112304688,M&M
4286,674.4500122070312,663.75,667.0,670.4249877929688,670446.0,633.2285766601562,M&M
4287,687.875,663.7000122070312,672.5,680.0250244140625,2117528.0,642.2960815429688,M&M
